timestamp(s),c_head_temp(K),film_burner_temp(K),mainplate_temp(K),he_pump_temp(K),heat_sw_temp(K) 
8573.892956256866,+8.551724E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8579.69318819046,+8.551971E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8585.493420124054,+8.552059E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8591.283652067184,+8.552031E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8597.09388422966,+8.552248E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8602.894116163254,+8.552193E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538400E+01
8608.694348096848,+8.552174E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8614.494580507278,+8.552104E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8620.294812440872,+8.552042E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8626.095044374466,+8.551932E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8631.89527630806,+8.552013E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8637.695508480072,+8.552321E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8643.495740413666,+8.552220E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8649.29597234726,+8.552269E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8655.096204280853,+8.552056E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8660.896436452866,+8.551906E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8666.69666838646,+8.551940E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538400E+01
8672.496900320053,+8.552005E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8678.297132253647,+8.551951E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8684.09736442566,+8.552226E-01,1.165000E+00,7.305000E+00,3.963000E+00,2.538400E+01
8689.897596359253,+8.552040E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8695.697828292847,+8.552258E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8701.49806022644,+8.552190E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538400E+01
8707.298292398453,+8.552204E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8713.098524332047,+8.552337E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8718.89875626564,+8.552365E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8724.698988199234,+8.552433E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538400E+01
8730.499220371246,+8.552604E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8736.29945230484,+8.552741E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538400E+01
8742.099684238434,+8.552636E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8747.969919204712,+8.552456E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8753.910156726837,+8.552403E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8759.70038819313,+8.552204E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8765.500620126724,+8.552263E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8771.300852298737,+8.552089E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8777.10108423233,+8.551927E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8782.901316165924,+8.551970E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538400E+01
8788.701548099518,+8.551950E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8794.641785860062,+8.552238E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8800.50202035904,+8.552392E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8806.302252292633,+8.552417E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8812.102484464645,+8.552671E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8817.90271639824,+8.552804E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8823.702948331833,+8.552485E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538300E+01
8829.503180265427,+8.552323E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8835.303412437439,+8.552604E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538400E+01
8841.103644371033,+8.552452E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538400E+01
8846.903876304626,+8.552522E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538400E+01
8852.70410823822,+8.552530E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8858.504340410233,+8.552563E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8864.304572343826,+8.552528E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
8870.10480427742,+8.552594E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
8875.905036211014,+8.552532E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
